id,fund_name,Performance fee?,Investment Strategy,Derivatives_label,Portfolio composition, Concentration,Predicted Strategy,Strategy evidence,Prediction
0000932471-18-008471,Vanguard Russell 3000 Index Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Equity Long Only  
Confidence: 10","What are the Fund's Main Investment Strategies?

The Fund seeks to achieve its objective by investing primarily in the common stock of U.S. companies. The Fund's investment adviser's investment strategy utilizes a whole market, all-cap/all-style approach by selecting most of its investments from companies listed in the Russell 3000® Index, an index that measures the performance of the 3,000 largest U.S. companies by market capitalization representing approximately 98% of the investable domestic equity market. As of July 31, 2018, companies in the Russell 3000® Index ranged in market capitalization from $36.0 million to $935.3 billion. The Fund's investments may include, but are not limited to, equity securities of domestic issuers.",Equity Long Only (Low Risk)
0000932471-18-008471,Vanguard Short-Term Corporate Bond Index Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Principal Investment Strategies

Ivy Limited-Term Bond Fund seeks to achieve its objective by investing primarily in investment grade, U.S. dollar-denominated, debt securities of primarily U.S. issuers. The Fund may invest in U.S. government securities, corporate debt securities, mortgage-backed securities including collateralized mortgage obligations (CMOs) and other asset-backed securities. The Fund seeks to identify relative value opportunities between these sectors of the fixed-income market. Under normal circumstances, the Fund invests at least 80% of its net assets in bonds with limited-term maturities; therefore, the Fund seeks to maintain a dollar-weighted average maturity of not less than two years and not more than five years.",Fixed Income Long Only (Low Risk)
0000932471-18-008471,Vanguard Short-Term Treasury Index Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 8","Principal Investment Strategies: The Fund seeks to achieve its investment objective, utilizing a “fund of funds” structure, by allocating assets among various strategies based on the adviser’s research and analysis regarding market trends. A market trend is the movement of a financial market in a particular direction over time. Under normal market conditions, the Fund invests, directly or indirectly through unaffiliated exchange traded funds (“ETFs”) and mutual funds (together with ETFs, “Underlying Funds”), at least 80% of its net assets (plus the amount of borrowings, if any) in long and short positions in municipal debt instruments. The Fund takes a long position, or purchases shares of a security, when the adviser believes a security will increase in value, and a short position, or sells shares of borrowed stock, when the adviser believes the value of a security will decrease. The Fund takes long and short positions in securities that provide returns similar to municipal bonds",Fixed Income Long Only (Low Risk)
0000940394-18-000852,Eaton Vance Dividend Builder Fund,,Equity Long Only (Low Risk),Yes,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objective by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds will typically seek to generate income from their investments and may include growth-and-income, equity-income, balanced and bond funds.

Through its investments in the underlying funds, the fund will have significant exposure to dividend-paying stocks. The fund will seek exposure to issuers domiciled outside the United States, including those domiciled in emerging markets. The investment adviser believes that exposure to issuers domiciled outside the United States can help provide diversification when seeking current income and long-term growth of capital.",Balanced Fund (Low Risk)
0000940394-18-000852,Eaton Vance Global Small-Cap Fund,,Equity Long Only (Low Risk),Yes,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 9","Eaton Vance Global Small

Cap Fund

<head_breaker>

Eaton Vance Global Small

Cap Fund

In connection with the proposed reorganization of Eaton Vance Global Small-Cap Fund into Eaton Vance Global Small-Cap Equity Fund (formerly Eaton Vance Tax-Managed Global Small-Cap Fund), it is anticipated that on or about May 9, 2018, shares of Eaton Vance Global Small-Cap Fund will no longer be available for purchase or exchange.

Investment Objective

The Fund’s investment objective is to seek long-term total return.

Fees and Expenses of the Fund",Equity Long Only (Low Risk)
0000940394-18-000852,Eaton Vance Growth Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories such as growth funds, growth-and-income funds, equity-income funds, balanced funds and bond funds. The fund categories represent differing investment objectives. For example, growth funds seek long-term growth primarily through investing in both U.S. stocks and stocks of issuers domiciled outside the U.S. Growth-and-income funds seek long-term growth-and-income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who plan to attend college in, or close to, the year designated in the fund’s name.",Balanced Fund (Low Risk)
0000940394-18-000852,Eaton Vance Large-Cap Value Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 9","Eaton Vance Large

Cap Value Fund

<head_breaker>

Eaton Vance Large

Cap Value Fund

Investment Objective

The Fund’s investment objective is to seek total return.

Fees and Expenses of the Fund",Equity Long Only (Low Risk)
0000940394-18-000852,Eaton Vance Real Estate Fund,,Equity Long Only (Low Risk),No,Listed Equities,Concentrated by issuer / sector / jurisdiction,"Category: Equity Long Only  
Confidence: 9","Principal Investment Strategies

The Fund seeks total return through a combination of capital appreciation and current income. Under normal market conditions, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in equity securities of companies primarily engaged in the real estate industry (the “80% Policy”). Although it invests primarily in domestic securities, the Fund may invest up to 20% of its net assets in foreign securities. As an alternative to holding foreign stocks directly, the Fund may invest in U.S. dollar-denominated securities of foreign companies that trade on U.S. exchanges, or in the over-the-counter market (including depositary receipts which evidence ownership in underlying foreign stocks). The Fund may invest in exchange-traded funds (“ETFs”), a type of pooled investment vehicle, in order to

Eaton Vance Domestic Equity Funds	21	Prospectus dated May 1, 2018",Equity Long Only (Low Risk)
0000940394-18-000852,Eaton Vance Small-Cap Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 9","Principal Investment Strategies

Under normal market conditions, the fund will invest at least 80% of its net assets in small cap companies. The portfolio managers consider small cap companies to include those with a market capitalization that does not exceed that of the largest company in the Russell 2000 Growth Index.",Equity Long Only (Low Risk)
0000940394-18-000852,Eaton Vance Special Equities Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 7","Principal Investment Strategy The fund seeks to achieve its investment objective — long-term capital appreciation — with lower volatility than, and moderate correlation to, major equity market indices. The fund uses a ""manager of managers"" approach by selecting one or more experienced equity managers to serve as subadvisers to manage the fund's assets. The fund allocates its assets among subadvisers that use long/short equity investment strategies that are not expected to have returns that are highly correlated to each other or major equity market indices. The fund may hire, terminate or replace subadvisers and modify material terms and conditions of subadvisory arrangements without shareholder approval. Each of the fund's subadvisers acts independently of any other subadviser and uses its own methodology to select portfolio investments.",Balanced Fund (Low Risk)
0000940394-18-001087,Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund <head_breaker>

Eaton Vance TABS 1-to-10 Year Laddered Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001087,Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund <head_breaker>

Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001087,Eaton Vance TABS 5-to-15 Year Laddered Municipal Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 10","Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund <head_breaker>

Eaton Vance TABS 10-to-20 Year Laddered Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001087,Eaton Vance TABS Intermediate-Term Municipal Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance TABS Intermediate

Term Municipal Bond Fund

<head_breaker>

Eaton Vance TABS Intermediate

Term Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to seek after-tax total return.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001087,Eaton Vance TABS Short-Term Municipal Bond Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance TABS Short

Term Municipal Bond Fund

<head_breaker>

Eaton Vance TABS Short

Term Municipal Bond Fund

Investment Objective

The Fund’s investment objective is to seek after-tax total return.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance Arizona Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance Arizona Municipal Income Fund <head_breaker>

Arizona Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Arizona state personal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance Connecticut Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance Connecticut Municipal Income Fund <head_breaker>

Connecticut Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Connecticut state personal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance Minnesota Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance Minnesota Municipal Income Fund <head_breaker>

Minnesota Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and regular Minnesota state personal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance Municipal Opportunities Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Principal Investment Strategies

Under normal market circumstances, the Fund invests at least 80% of its net assets (plus any borrowings for investment purposes) in municipal obligations that are exempt from regular federal income tax and the state taxes specified in the Fund’s investment objective (the “80% Policy”). The Fund may invest without limit in obligations the income from which is subject to the federal alternative minimum tax. At least 75% of net assets normally will be invested in municipal obligations rated at least investment grade at the time of investment (which are those rated Baa or higher by Moody’s

Eaton Vance Municipal Income Funds	32	Prospectus dated December 1, 2017",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance New Jersey Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance New Jersey Municipal Income Fund <head_breaker>

New Jersey Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and New Jersey state personal income tax.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0000940394-18-001800,Eaton Vance Pennsylvania Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","Eaton Vance Pennsylvania Municipal Income Fund <head_breaker>

Pennsylvania Municipal Income Fund

Investment Objective

The Fund’s investment objective is to provide current income exempt from regular federal income tax and Pennsylvania state and local taxes in the form of an investment exempt from Pennsylvania personal property taxes.

Fees and Expenses of the Fund",Fixed Income Long Only (Low Risk)
0001104659-18-012545,MFS Global Growth Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 9","In selecting investments for the fund, MFS is not constrained by any particular investment style. MFS may invest the fund’s assets in the stocks of companies it believes to have above average earnings growth potential compared to other companies (growth companies), in the stocks of companies it believes are undervalued compared to their perceived worth (value companies), or in a combination of growth and value companies.

While MFS may invest the fund’s assets in securities of companies of any size, MFS primarily invests in securities of companies with large capitalizations.

MFS invests the fund’s assets in U.S. and foreign securities, including emerging market securities.

MFS normally invests the fund’s assets across different industries, sectors, countries, and regions, but MFS may invest a significant percentage of the fund’s assets in issuers in a single industry, sector, country, or region.",Equity Long Only (Low Risk)
0001104659-18-012545,MFS Strategic Income Fund,,Fixed Income Long Only (Low Risk),Yes,Sub-investment grade securities or emerging markets,Diversified,"Category: Equity Long Only  
Confidence: 10","Principal Investment Strategies

MFS (Massachusetts Financial Services Company, the fund’s investment adviser) normally invests the fund’s assets primarily in U.S. and foreign equity securities, including emerging market equity securities. Equity securities include common stocks and other securities that represent an ownership interest (or right to acquire an ownership interest) in a company or other issuer.

MFS focuses on investing the fund’s assets in the stocks of companies it believes to have above average earnings growth potential compared to other companies (growth companies).

MFS may invest the fund’s assets in securities of companies of any size.",Equity Long Only (Low Risk)
0001104659-18-012553,MFS Global Equity Fund,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 10","Principal Investment Strategies

MFS (Massachusetts Financial Services Company, the fund’s investment adviser) normally invests the fund’s assets primarily in U.S. and foreign equity securities, including emerging market equity securities. Equity securities include common stocks and other securities that represent an ownership interest (or right to acquire an ownership interest) in a company or other issuer.

MFS focuses on investing the fund’s assets in the stocks of companies it believes to have above average earnings growth potential compared to other companies (growth companies).

MFS may invest the fund’s assets in securities of companies of any size.",Equity Long Only (Low Risk)
0001104659-18-012553,MFS Global Total Return Fund,,Equity Long Only (Low Risk),Yes,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 8","In selecting investments for the fund, MFS is not constrained by any particular investment style. MFS may invest the fund’s assets in the stocks of companies it believes to have above average earnings growth potential compared to other companies (growth companies), in the stocks of companies it believes are undervalued compared to their perceived worth (value companies), or in a combination of growth and value companies.

While MFS may invest the fund’s assets in securities of companies of any size, MFS primarily invests in securities of companies with large capitalizations.

MFS invests the fund’s assets in U.S. and foreign securities, including emerging market securities.

MFS normally invests the fund’s assets across different industries, sectors, countries, and regions, but MFS may invest a significant percentage of the fund’s assets in issuers in a single industry, sector, country, or region.",Balanced Fund (Low Risk)
0001104659-18-012553,MFS Utilities Fund,,Equity Long Only (Low Risk),Yes,Listed Equities,Concentrated by issuer / sector / jurisdiction,"Category: Equity Long Only  
Confidence: 8","Principal Investment Strategies

MFS (Massachusetts Financial Services Company, the fund’s investment adviser) normally invests at least 80% of the fund’s net assets in securities of issuers in the utilities industry. MFS considers a company to be in the utilities industry if, at the time of investment, MFS determines that a substantial portion (i.e., at least 50%) of the company’s assets or revenues are derived from one or more utilities. Issuers in the utilities industry include issuers engaged in the manufacture, production, generation, transmission, sale or distribution of electric, gas or other types of energy, water or other sanitary services; and issuers engaged in telecommunications, including telephone, cellular telephone, satellite, microwave, cable television, and other communications media (but not engaged in public broadcasting).",Equity Long Only (Low Risk)
0001104659-18-047251,MFS Alabama Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Alabama Municipal Bond Fund <head_breaker>

MFS Alabama Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Alabama, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Arkansas Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Arkansas Municipal Bond Fund <head_breaker>

MFS Arkansas Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Arkansas, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS California Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 10","3

MFS California Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in California, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Georgia Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 10","MFS Georgia Municipal Bond Fund <head_breaker>

MFS Georgia Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Georgia, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Maryland Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Maryland Municipal Bond Fund <head_breaker>

MFS Maryland Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Maryland, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Massachusetts Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Massachusetts Municipal Bond Fund <head_breaker>

MFS Massachusetts Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Massachusetts, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Mississippi Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 10","3

MFS Mississippi Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in Mississippi, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Municipal Income Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","3

MFS Municipal Income Fund

municipal instruments are issued to finance similar projects, conditions in certain industries can significantly affect the fund and the overall municipal market.

Focus Risk: The fund’s performance will be closely tied to the issuer, market, economic, industry, political, regulatory, geopolitical, and other conditions in the states, territories, and possessions of the United States in which the fund’s assets are invested.  If MFS invests a significant percentage of the fund’s assets in a single state, territory, or possession, or a small number of states, territories, or possessions, these conditions will have a significant impact on the fund’s performance and the fund’s performance may be more volatile than the performance of more geographically-diversified funds.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS New York Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","3

MFS New York Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in New York, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS North Carolina Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","3

MFS North Carolina Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in North Carolina, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Pennsylvania Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Pennsylvania Municipal Bond Fund <head_breaker>

MFS Pennsylvania Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Pennsylvania, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS South Carolina Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 10","3

MFS South Carolina Municipal Bond Fund

diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Tennessee Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","MFS Tennessee Municipal Bond Fund <head_breaker>

MFS Tennessee Municipal Bond Fund

Summary of Key Information

Investment Objective

The fund’s investment objective is to seek total return with an emphasis on income exempt from federal income tax and personal income tax, if any, of Tennessee, but also considering capital appreciation.

Fees and Expenses

This table describes the fees and expenses that you may pay when you buy and hold shares of the fund. Investors may also pay commissions or other fees to their financial intermediaries when they buy and hold shares of the fund, which are not reflected below.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS Virginia Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 10","3

MFS Virginia Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in Virginia, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001104659-18-047251,MFS West Virginia Municipal Bond Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Concentrated by issuer / sector / jurisdiction,"Category: Fixed Income Long Only  
Confidence: 9","3

MFS West Virginia Municipal Bond Fund

Focus Risk:  The fund’s performance will be closely tied to the economic and political conditions in West Virginia, and can be more volatile than the performance of a more geographically diversified fund. In addition, the fund’s performance can also be tied to the economic and political conditions of other states and U.S. territories and possessions in which the funds are invested. These conditions may include constitutional or statutory limits on an issuer’s ability to raise revenues or increase taxes, anticipated or actual budget deficits or other financial difficulties, or changes in the credit quality of municipal issuers in the state, other states, or U.S. territories and possessions.",Fixed Income Long Only (Low Risk)
0001144204-18-020502,MainStay VP Balanced Portfolio,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","67

MainStay VP Balanced Portfolio

Portfolio Management Risk: The investment strategies, practices and risk analysis used by a Subadvisor may not produce the desired results. In addition, the Portfolio may not achieve its investment objective, including during a period in which a Subadvisor takes temporary positions in response to unusual or adverse market, economic or political conditions, or other unusual or abnormal circumstances.

Equity Securities Risk: Investments in common stocks and other equity securities are particularly subject to the risk of changing economic, stock market, industry and company conditions and the risks inherent in the portfolio managers' ability to anticipate such changes that can adversely affect the value of the Portfolio's holdings. Opportunity for greater gain often comes with greater risk of loss.",Balanced Fund (Low Risk)
0001144204-18-020502,MainStay VP Common Stock Portfolio,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Balanced Fund  
Confidence: 9","67

MainStay VP Balanced Portfolio

Portfolio Management Risk: The investment strategies, practices and risk analysis used by a Subadvisor may not produce the desired results. In addition, the Portfolio may not achieve its investment objective, including during a period in which a Subadvisor takes temporary positions in response to unusual or adverse market, economic or political conditions, or other unusual or abnormal circumstances.

Equity Securities Risk: Investments in common stocks and other equity securities are particularly subject to the risk of changing economic, stock market, industry and company conditions and the risks inherent in the portfolio managers' ability to anticipate such changes that can adversely affect the value of the Portfolio's holdings. Opportunity for greater gain often comes with greater risk of loss.",Balanced Fund (Low Risk)
0001144204-18-020502,MainStay VP Convertible Portfolio,,Balanced Fund (Low Risk),No,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 7","In selecting convertible securities for purchase or sale, the Subadvisor takes into account a variety of investment considerations, including the potential return of the common stock into which the convertible security is convertible, credit risk, projected interest return, and the premium for the convertible security relative to the underlying common stock.

83

MainStay VP MacKay Convertible Portfolio",Balanced Fund (Low Risk)
0001144204-18-020502,MainStay VP Eagle Small Growth Portfolio,,Equity Long Only (Low Risk),No,Listed Equities,Diversified,"Category: Equity Long Only  
Confidence: 9","MainStay VP Eagle Small Growth Portfolio <head_breaker>

MainStay VP Eagle Small Cap Growth Portfolio

Investment Objective

The Portfolio seeks long

term capital appreciation.

Fees and Expenses of the Portfolio The table below describes the fees and expenses that you may pay if you buy and hold shares of the Portfolio. The table does not include any separate account or policy fees or charges imposed under the variable annuity policies and variable universal life insurance policies for which the Portfolio is an investment option. If they were included, your costs would be higher. Investors should consult the applicable variable annuity policy or variable universal life insurance policy prospectus for more information.

Initial

Service

Class

Class

Annual Portfolio Operating Expenses

(fees paid directly from your investment)

Management Fees (as an annual percentage of the Portfolio's average daily net assets)

0.81

%

0.81

%

Distribution and Service (12b

1) Fees

None

0.25",Equity Long Only (Low Risk)
